movieId           movieTitle         movieRatings        movieDuration     MovieReleaseDate
1                    Toy Story            FALSE           81              1995           
9                    Spy Hard             FALSE           81              1996           
15                   Siblings             FALSE           85              2004           
16                   Creep                FALSE           85              2014           
8                    Hellraiser:Bloodline FALSE           86              1996           
13                   Liar Liar            FALSE           86              1997           
11                   Sleeper              FALSE           89              1996           
7                    Phantoms             FALSE           91              1998           
10                   Thinner              FALSE           92              1996           
2                    Four Rooms           FALSE           98              1995           
4                    Fargo                FALSE           98              1996           
14                   Chinese Box          FALSE           99              1997           
3                    Jumanji              FALSE           104             1995           
18                   Click                FALSE           107             2006           
5                    Miller's Crossing    FALSE           115             1990           
6                    The Big Lebowski     FALSE           117             1998           
17                   Brides               FALSE           128             2004           
12                   The Doors            FALSE           140             1991           
